architecture,name,description,category,link,tipo_arquitectura,services
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,,interactive,https://www.youtube.com/watch?v=BPvr0qWpJlA,,"['Lambda', 'DynamoDB', 'UserCompanyDataStream', 'Connect', 'UserCompanyAgent', 'ECS', 'UserConsumerMobile', 'UserCompanyCRM', 'RDS']"
dy-drIboyNA,Healthdirect Australia: Using AWS to Connect People with Healthcare,"healthcare. many services. a lot of data. regulations + volume. 90m hits a month from various sources. write and read sections 
    separated. kinesis is for in-order processing - like a data change event. EMR - spark is run inside. 
    why both dynamo and elastic search both? relationships are better handled in elastic search. 
    data is cached for a long time in S3. data has to be retained for 25 years.","data_ingestion,interactive",https://www.youtube.com/watch?v=dy-drIboyNA,,"['Lambda', 'Athena', 'ApiGateway', 'DynamoDB', 'OpenSearch', 'S3', 'UserConsumerAPI', 'Kinesis', 'EMR']"
J4vHfpL66Zk,Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture Spanish,"maintenance and adaptive solution. data always ends up in s3. have a datalake. batch oriented processing. sagemaker for ml.
    main motto adaptation and agile.",data_ingestion,https://www.youtube.com/watch?v=J4vHfpL66Zk,,"['Athena', 'DMS', 'SageMaker', 'S3', 'StepFunctions', 'RedShift', 'QuickSight', 'UserConsumerAPI', 'Kinesis', 'EMR']"
FmhL2334GIY,New Relic: Automated Monitoring on AWS with New Relic Synthetics,"Synthetic testing: automated testing simulating customer
    The job workflow is repetitively run
    Private monitors need to be run manually by company developer",other,https://www.youtube.com/watch?v=FmhL2334GIY,,"['UserCompanyWebsite', 'GlobalAccelerator', 'EC2', 'SQS', 'ECS', 'UserCompanyDeveloper']"
tBavPTWewvI,ACV Auctions: Learn How ACV Scales to Serve Hundreds of Millions of Auction Requests Per Month,100s of millions of requests per month. EKS for scale. production shipping dozens of times in a week. used for scaling.,interactive,https://www.youtube.com/watch?v=tBavPTWewvI,,"['ELB', 'MSK', 'UserConsumerWebMobile', 'RDS', 'EKS', 'UserCompanyAnalyst']"
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,Millions of API requests every month and 100s of data access requests per month. Platform services are running on EKS and the application logic in EMR. Data governance automation reduced the time to market. Reduction in time for building data engineering pipelines by 30-40%. Cost controlling using auto scaling capabilities.,control,https://www.youtube.com/watch?v=JG5p-i8Cr2E,,"['IAM', 'EMR', 'EC2', 'S3', 'UserCompanyDeveloper', 'SQS', 'SES', 'RDS', 'EKS', 'Glue']"
OuQvFd44vw4,econda GmbH: Building a RealTime Personalization Engine with Amazon Sagemaker and AWS ECS,"Econda handles requests coming from websites, stores them, allows users to perform analytics on them.
    Perform daily automated training for each client and allow realtime inference afterwards.
    Interestingly they are using SageMaker for only preprocessing and training, not inference.
    For inference they are using ECS where they have pulled only the relevant parts of SageMaker -- this has reduced costs.
    They have their own algorithms, don't use SageMaker's. So it is only used for undifferentiated heavy lifting.
    Not sure how ECR fits into the picture. They mention something about algorithm versioning using image-text in ECR.","compute_intensive,interactive",https://www.youtube.com/watch?v=OuQvFd44vw4,,"['Lambda', 'SageMaker', 'ThirdParty', 'ECR', 'S3', 'SecretsManager', 'UserCompanyAPI', 'ECS']"
KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,"innovative team of pwc. blockchain, ai focus. use amazon managed blockchain. feedback from consumers : very limited transparency in supply chain. maintain privacy and data standards. graph: unusable. only interaction b/w amazon blockchain to sap.",interactive,https://www.youtube.com/watch?v=KzJKdUZ3Ba4,Edge,"['ThirdParty', 'IoTCore', 'UserConsumerMobile']"
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,"10 million patients data with 20B records
    Transform patient health data to unified canonical model
    To uniquely identify patients data and deduplicate them - Neo4J corelation engine provides algorithms to do that natively
    Hadoop, HDFS, Spark Jobs to EMR and S3 -> significant cost savings more than half
    Aurora to power applications
    Amazon Connect to trigger contact flow to reach out to patient if required
    Amazon Connect proactively reaches out to patients on alerts (no human intervention).
    Future plans of using Sagemaker to make predictive health analysis","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=M_hqigB9C4I,,"['UserConsumerWeb', 'UserCompanyDataStream', 'ThirdParty', 'Connect', 'S3', 'RedShift', 'EMR', 'Aurora']"
U8xlmurP-6o,Simplex: Building a Scalable Serverless Cryptocurrency Platform,"Simplex builds cryptocurrency wallet system for financial institutions.
    Note the system is an N x M mapping (companies x currencies). In the graph we are only showing one company and one cryptocurrency.
    Mainly two flows -- withdrawing and depositing.
    Block data is to be processed (several gigabytes). A new system would take days to catch up and so snapshots are persisted in EBS.
    Main security concern is managing access to the private keys used for transactions. Key is managed offline to avoid hacking attempts.
    For online operation requirements, the keys are managed using CloudHSM. CloudHSM <> EC2 link is a private link.",interactive,https://www.youtube.com/watch?v=U8xlmurP-6o,,"['Lambda', 'ApiGateway', 'DynamoDB', 'SNS', 'ThirdParty', 'EC2', 'EBS', 'CloudHSM']"
u9DZRkJxvWo,PwC: Building an Efficient Intelligent Serverless Pipeline for the Pharma Industry,"healthcare segment. deal with regulations for pharmaceutical companies. they have a pipeline. around 20 lambda functions.
    they augment using machine learning. they transform this unstructured data. so a lot of data collection and augmentation takes place.
    store all of this data in RDS. this type of pipeline took 3-4 months wo AWS. With AWS, it took about a week only. so it helped the company in a big way.",data_ingestion,https://www.youtube.com/watch?v=u9DZRkJxvWo,,"['RDS', 'StepFunctions']"
XUCGMzLx8wY,Mytona: How a ML Recommendation System was Built for Gaming,Dynamic traffic allocation using Multi-arm-bandit. several hundred thousand customers,data_ingestion,https://www.youtube.com/watch?v=XUCGMzLx8wY,,"['Lambda', 'SageMaker', 'EC2', 'ECR', 'S3', 'ECS', 'MSK', 'UserConsumerMobile']"
90rWUjKjnAE,amazee.io: Kubernetes Deployments Made Easy,"Open-source software delivery platform (to deploy on Kubernetes).
    Want to keep workflow transparent without thinking of underlying storage, so use EFS and EBS when noticing certain storage is needed.
    This is a SaaS company, so what kind of storage to use depends on what their customers want, which may explain why they use FS.
    Use r6g instances for Aurora and gp3 for EBS after testing and seeing no regression; gp3: cheaper and better IOPS.",control,https://www.youtube.com/watch?v=90rWUjKjnAE,,"['UserConsumerDeveloper', 'ThirdParty', 'EC2', 'EBS', 'EFS', 'EKS', 'Aurora']"
AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,Monitoring company100s of 1000s of Lambdas are monitored and only the data required to monitor Lambdas is persisted,data_ingestion,https://www.youtube.com/watch?v=AzM_d7ZvzUE,,"['Lambda', 'Firehose', 'DynamoDB', 'Athena', 'S3', 'Glue', 'Kinesis', 'Aurora']"
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,"Customers can drop their data in different storage systemscomplete serverless and event-driven, easy to productionizeSagemaker for training and predictionFuture plans to use code pipeline for ci-cd",data_ingestion,https://www.youtube.com/watch?v=GJ1So_pbZWk,,"['Lambda', 'DynamoDB', 'UserConsumerWeb', 'SageMaker', 'S3', 'RedShift', 'EFS', 'Glue']"
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,rendering as a service (RaaS). used gpu based spot instances.api gateway for what kind of subscription user has. based on spot instances. how is high availability maintained? multiple availability zones. instance types in autoscaling groups.billion of videos yearly. highly available service - scaling mechanism reliant on cloudwatch metrics with lambda triggered by step func every 15 seconds. talks to ec2 if need to increase instance. AWS ASG - specific instance types to specific weights.,"compute_intensive,interactive",https://www.youtube.com/watch?v=6CgqEzyWpeA,Edge+HPC,"['Lambda', 'ApiGateway', 'EC2', 'S3', 'StepFunctions', 'SQS', 'UserConsumerWebMobile', 'CloudWatch', 'CloudFront']"
o6DZRwe30Ls,ArcBlock: Leveraging Amazon QLDB to Build a Decentralized Identity Solution,"web3 era, decentralized platform. allows developers to build dApps faster. why qldb? great streaming capability.
    consider as data ingestion because it ingests decentralized transactions data.",data_ingestion,https://www.youtube.com/watch?v=o6DZRwe30Ls,,"['QLDB', 'ThirdParty', 'OpenSearch', 'EC2', 'Kinesis']"
c6yBZBMwtLk,RSI: Affordably Modernizing Audio and Video Content Management Italian,Video describes pipeline for capturing and processing incoming video data. It also describes pipeline for editting the videos.,"data_ingestion,compute_intensive",https://www.youtube.com/watch?v=c6yBZBMwtLk,Edge,"['MediaPackage', 'ApiGateway', 'DynamoDB', 'S3', 'StepFunctions', 'MediaConvert', 'MAM', 'UserCompanyElementalLiveDevice', 'ElementalLive']"
mtZvA7ARepM,Temenos: Building Serverless Banking Software at Scale,"no 1 banking software. half a billion banking customers. elastic scalability automatic - they wanted that. pay as u go.
    ease of management. every request routed thru api gateway. RDS used as OLTP database. DynamoDB used as query optimized database, 
    only the things needed end up there. Fargate used for scaling out both external and internal infras, 
    again pay as u go made them take the decision. 50k txns/second. 12.5k txns/second are banking txns.",interactive,https://www.youtube.com/watch?v=mtZvA7ARepM,,"['Lambda', 'ApiGateway', 'DynamoDB', 'Fargate', 'ELB', 'UserConsumerAPI', 'Kinesis', 'RDS']"
pZ7Lr94noLo,Aventri: SaaS Solution for Event Management,"Event management software (real-workload event, not in CS sense).
    Has done 30K meetings, log 100K hours video/audios (<6 months?)",interactive,https://www.youtube.com/watch?v=pZ7Lr94noLo,,"['Lambda', 'ApiGateway', 'DynamoDB', 'UserConsumerWeb', 'Fargate', 'S3', 'SQS', 'Chime']"
N2mktbl8EQk,An Under the Hood Tune Up with AWS DeepRacer,describes how AWS service (Deepracer) works internally. some AWS services are deployed in customer's VPC. talks about types of data stored in S3 (meta/data etc). talks about RL architecture (basic ML stuff).,compute_intensive,https://www.youtube.com/watch?v=N2mktbl8EQk,Edge,"['SageMaker', 'UserConsumerWeb', 'S3', 'RoboMaker', 'Kinesis', 'CloudWatch']"
hMK2NJ-q9nc,WarnerMedia: Cloudbased Linear Playout System,"Videos uploaded to S3 using Aspera
    Videos in S3 transferred to EC2 after registered with Evertz Mediator
    There are three EC2 instances, each storing 10 channels in primary-backup fashion
    Files in EC2 are played out through Evertz Playtime
    Auto changeover switch used to switch between Techwood playout, CNN playout and cloud playout on premise
    CloudFormation used to create a repeatable process of deployment (40 YAML files now)
    The system achieves 5-9 availability
    Using Cloudbridge for latency and connection between AWS and on-premise
    Future: switch between live and pre-recorded content; do compression in cloud rather than on-prem",compute_intensive,https://www.youtube.com/watch?v=hMK2NJ-q9nc,Edge,"['CloudFormation', 'DirectConnect', 'UserCompanyDataStream', 'EC2', 'S3', 'UserCompanyEdge']"
cnZeOytEkIM,Property Finder: Running Production Workloads with Amazon EKS on 100% Amazon EC2 Spot Instances,20 instances and 2000 containers. micro service architecture. 100 percent Spot instances in multible availability zones. Failure handling using event bridge. Save 50 percent costs with spot instances compared to on-demand instances. use manage node groups to get rid of eventbridge so AWS takes care of everything. Datadog for monitoring.,interactive,https://www.youtube.com/watch?v=cnZeOytEkIM,,"['Lambda', 'UserConsumerWeb', 'ALB', 'EC2', 'EventBridge', 'EKS']"
GxjMSvwcgvw,Sopra Banking Software: Secured & Industrial Microservices for a Digital Banking Engagement Platform,"microservice architecture based on kubernetes. 10 clients through 30 branches. 3 regions over the world.kubernetes hosted on ec2. the data part ec2 and mongodb. they also user terraform for provisioning.security integrated into the VPC design. WAF, Shield etc used.",interactive,https://www.youtube.com/watch?v=GxjMSvwcgvw,,"['EC2', 'UserCompanyAPI', 'ELB', 'UserConsumerAPI', 'RDS', 'ElastiCache']"
RxAmb57NCPM,Zalando: Highly Scalable Data Processing Pipeline,"data processing pipeline. online retail platform connecting various stakeholders. 28 million active users per month.
    built the pipeline with 9 people serving about 100 teams. they used nakadi which is an open source distributed event bus. 
    all microservices talk to it. nakadi mostly does batching. each lambda has incoming sqs and outgoing dlq so that if anything fails,
    can retry and recover. the lambda writes to S3 every hour or so. the second lambda is mostly for metadata. 
    third lambda is for daily partition. 2 mil lambda invocations/day can go upto 6 million.",data_ingestion,https://www.youtube.com/watch?v=RxAmb57NCPM,,"['Lambda', 'SNS', 'ThirdParty', 'S3', 'UserCompanyAPI', 'SQS']"
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,"sending files over network (55tb per day) - 30 million lambda invocations. 250 billion events per day. each file has multiple events. keep metadata and data layer separate. lambda hierarachy - fan out architecture. 100 networks they upload data to.scale, rate limiting, costs - three challenges they tackled. 3000 lambdas concurrently run. another sqs queue to handle bursts of data to write back to postgres.  costs - from 7.7$ per billion to 4.25$ per billion. immediate savings due to lambda on code improvement.",data_ingestion,https://www.youtube.com/watch?v=Jkx6kVbDpL4,,"['Lambda', 'UserCompanyDataStream', 'S3', 'SQS', 'RDS', 'EMR', 'UserCompanyAnalyst']"
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"Fantasy games platform where people can create and join contests
    Last month 1.5m new registered user, every match 0.5m users create their teams
    Plan to use Apache Spark Streaming with EMR; plan to use DynamoDB","data_ingestion,interactive",https://www.youtube.com/watch?v=3WgTBTDlQN8,,"['Lambda', 'ApiGateway', 'EMR', 'EC2', 'S3', 'UserCompanyAPI', 'RedShift', 'UserConsumerMobile', 'CloudWatch']"
1kWxymroGeE,OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy,"Data is key to monolith decomposition. This video talks about how data was split across services.    
    The interesting point is their design choice of tiering some of their data and offloading it to cheaper dynamodb from aurora.
    They don't quite go into the details though.
    All encrypted data is pushed straight to secrets manager.",control,https://www.youtube.com/watch?v=1kWxymroGeE,,"['DynamoDB', 'S3', 'SecretsManager', 'KMS', 'Aurora']"
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,"Project management SaaS company.
    Show two types of customers: normal users and enterprises; enterprises have more security/compliance concern and thus, use its own KMS. Normal users' data is stored in a multi-tenant Aurora cluster, while enterprises' data is stored in a dedicated Aurora cluster.
    Business logic is running inside a mix cluster of EC2, ECS, and EKS.",interactive,https://www.youtube.com/watch?v=8ZRWzn0G39g,,"['ApiGateway', 'DynamoDB', 'Fargate', 'EC2', 'ECS', 'KMS', 'UserConsumerAPI', 'EKS', 'Aurora']"
KgRib8AM0fs,Hudl: Ingesting and Transcoding Video Data Using AWS,10K instances. 30K events/minute. Latency ~2mins. Drain jobs when termination notice comes up. Use spot advisor. Use common pattern of having lambda look at SQS length and cloudwatch to scale up SpotFleet,compute_intensive,https://www.youtube.com/watch?v=KgRib8AM0fs,Edge,"['Lambda', 'UserConsumerEdge', 'EC2', 'S3', 'SQS', 'UserConsumerWebMobile', 'CloudWatch']"
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK","""Hybrid architecture with duplexing""
    Initially, only Lambda. Due to traffic and cost issues, started operating with ECS/Fargate.
    Uses 2 route53. The internal one is used to route requests to either the fargate cluster or ApiGateway. Internal route53 is used for weight distrubtion.
    Used Lambda to read CloudWatch logs and get load information. (building custom autoscaling mechanisms.)
    ECS insufficient to handle bursty traffic. Used lambda (""in order to prevent traffic loss during autoscaling""). while ECS was scaling out.
    Future: microservice architecture.",interactive,https://www.youtube.com/watch?v=0F7KDLz-kIQ,Edge,"['Lambda', 'ApiGateway', 'CloudFront', 'UserConsumerWeb', 'Fargate', 'OpenSearch', 'DocumentDB', 'Route53', 'RDS', 'CloudWatch', 'ElastiCache']"
PoYiSKUy8sE,Alert Logic: Scaling Storage and Delivery of Petabytes of Search Data,"Storage service to consumers and provide a search functionality through it.
    System has two parts -- data ingestion and search.
    Total data in store 25 petabytes. Each search query typically looks at 100s of terrabytes of data.
    Search Engine -- MapReduce system based on Lambdas. Rich SQL syntax.
    Search is a spiky workload. On certain gameday, the Lambda fleet scaled from 0 to 55k in an hour and back to 0 when demand went down (saving money).
    Interestingly they use 'Erlang' in writing their Lambda logic.
    The DynamoDB is not connected in the graph. It is likely connected to ECS.","data_ingestion,interactive",https://www.youtube.com/watch?v=PoYiSKUy8sE,Edge,"['Lambda', 'DynamoDB', 'UserConsumerEdge', 'S3', 'StepFunctions', 'SQS', 'ECS', 'UserConsumerAPI', 'Kinesis']"
ekXdohpAy5U,Accenture: Natural Language Processing and Graph Databases for the Oil and Gas Industry,"Provide timely information to buy raw oil.
    UserCompanyDataStream is documents.
    Two data storage: Neptune for knowledge graph, and ElasticSearch (maybe OpenSearch) for indexing.",data_ingestion,https://www.youtube.com/watch?v=ekXdohpAy5U,,"['Lambda', 'Comprehend', 'SageMaker', 'UserCompanyDataStream', 'OpenSearch', 'Neptune']"
mq3XuoN0rUM,ZS Associates: Intelligent Process Automation Using AWS AI Services,"Requirement: tailor the privileges and policies for each customer/team.
    EC2 runs ""bots"": Automation Anywhere, Blue Prism, and UiPath.
    Triggered either manually or by uploading config to S3.
    they have defined custom rules/language for the bots.
    Use vpc peering to communicate with external apis while ensuring compliance.",compute_intensive,https://www.youtube.com/watch?v=mq3XuoN0rUM,,"['Comprehend', 'VPCPeering', 'ThirdParty', 'EC2', 'S3', 'RDS', 'Polly', 'UserCompanyDeveloper', 'Transcribe']"
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,"Business platform: 3M+ customers. 1600 developers (within Xero, i think).
The key idea is to simplify provisioning. Final resources are created on EKS instances, and within preconfigured subnets and also uses RDS etc.
They need to create/manage AWS accounts for all customers (best guess), so they use Resource Access Manager.
150 subnets and ~150 AWS accounts.
Motivation: Quote: It is super hard to create infrastructure that is compliant.
Graph is _not_ usable. Graph: unusable.",control,https://www.youtube.com/watch?v=Felt-hOU6kU,,"['ALB', 'RAM', 'UserCompanyDeveloper', 'SQS', 'RDS', 'EKS']"
66h7DrOEF5k,ABEJA: Building a Machine Learning Platform that Fully Utilizes Container Technologies Japanese,"Platform for ML Serving and Training.
    They use Kubernetes to manage EC2 instances which are equipped with GPUs for training.
    Inference has 3 important features.
    1. Blue Green deployment -- so that model quality is not degraded with new deployments.
    2. Service Discovery -- users can access dynamo db to discover services.
    3. Spot Instances -- unclear how they are utilised.",compute_intensive,https://www.youtube.com/watch?v=66h7DrOEF5k,,"['Lambda', 'DynamoDB', 'ALB', 'ThirdParty', 'EC2', 'S3', 'ECS', 'CloudWatch']"
aOY6YCpcjz8,HubSpot: Task Queueing System Built on top of Amazon SQS,"Asynchronous Task Queuing System. they have built a fallback system incase SQS in unavailable! That's weird/interesting. talks about why used structured (SQL). scale: 6500 tasks/sec.isolates/shards across each SQS, datastores. talks about QoS: skips pipeline steps if getting late.",compute_intensive,https://www.youtube.com/watch?v=aOY6YCpcjz8,,"['SQS', 'ThirdParty', 'EC2', 'UserCompanyAPI']"
Ujs9o3CXUTU,Telefónica Tech AI of Things: Providing Data Insights and ML to Organizations with AI Suite (Span.),AI Suite using managed AWS Servicesgraph: unusable,other,https://www.youtube.com/watch?v=Ujs9o3CXUTU,,"['DynamoDB', 'S3', 'ControlTower', 'ECS', 'ServiceCatalog', 'EMR', 'ElastiCache', 'Glue']"
nM-AkqNh7Yo,from scratch: Resource Manager Controls Task Distribution with Multiple Amazon EMR Clusters,50 percent cost reduction because of spot instances from instance fleetA architecture to control large volume of EMR clsuters to handle serveal TB of data on daily basisDifferent SQS queues are used to prioritize the tasksUse of spot instances in EMR. 70 percent of the processing with SPOT instances,data_ingestion,https://www.youtube.com/watch?v=nM-AkqNh7Yo,,"['EMR', 'EC2', 'S3', 'SQS', 'RDS', 'CloudWatch']"
zr3Kib0i-OQ,Accenture: Large Scale Asset Inventory Tracking with AWS Fargate,"Accenture manages customer accounts in public cloud providing governance, andalytics and cloud management services
    The inventory service contains all the resources the client have in cloud.
    There is a discovery process that pulls information from each account and stores in elasticsearch system
    Currently covering 4000 accounts
    CloudWatch triggered every 10 minutes
    Collector and difference engine processes used to runs as 10000 concurrent lambda jobs
    Collector process changed from Lambda to Fargate due to high run time, and memory. By using Fargate, the task can be done through single container execution, memory allocation is more flexible (specific to each discovery size), and less concurrency throttling",data_ingestion,https://www.youtube.com/watch?v=zr3Kib0i-OQ,,"['Lambda', 'Fargate', 'OpenSearch', 'S3', 'CloudWatch']"
aN26J-7q9Hw,Qonto: How to Leverage Serverless Technologies to Quickly Achieve PCIDSS Compliance French,"App allows users to manage their cards using the Qonto app. It is not described what all is meant by managing the card.
    There are two flows. The first flow is the card management that starts at the users app and connects to the mastercard network among other things.
    The next is logging flow which writes logs to Sentry.
    The main issue is being PCI-DSS compliant. They specifically use Lambdas because AWS is certified to be PCI-DSS compliant.",control,https://www.youtube.com/watch?v=aN26J-7q9Hw,,"['Lambda', 'ApiGateway', 'ThirdParty', 'EC2', 'SystemsManager', 'NAT', 'ELB', 'KMS', 'UserConsumerMobile']"
cmYI6axlicc,Pirelli: Building a Data Platform at Scale,"15 factories * 6 sources => ~4K data streams
    2 layers of EMR",data_ingestion,https://www.youtube.com/watch?v=cmYI6axlicc,,"['UserCompanyDataStream', 'S3', 'UserCompanyAnalyst', 'RedShift', 'MSK', 'EMR', 'Aurora']"
ruOhUEooJH0,SK Telecom: EndtoEnd Cloud Management Platform on AWS Korean,"Cloud Management. Split into two parts: Cloud Admin Portal (CAP) and Cloud Biz Platform (CBP).
    CAP: contract/account/billing management, etc.
    CBP: collect all BSS, OSS info from cloud ecosystems.
    Plan to use CodePipeline for CI/CD.
    The entire CBP has no line drawn... so consider as unusable for now.",other,https://www.youtube.com/watch?v=ruOhUEooJH0,Edge,"['UserConsumerDeveloper', 'CloudFront', 'SageMaker', 'Fargate', 'DirectConnect', 'UserCompanyDataStream', 'UserConsumerWeb', 'S3', 'ELB', 'ElastiCache', 'Aurora']"
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,"scale: 60B events/day. agent in customer's instance. separate pipelines forreal-time and long-term storage/analysis. Different serialization/storage formats: json->Avro->gzipped.Also, different data is stored in different places, no duplication here.Bucket policy permissions to let customers fetch data. EC2 service specifically to orchestrate EMR.Mentions benefits of parquet. Mentions dogfooding.",data_ingestion,https://www.youtube.com/watch?v=INog0_9tCtY,,"['Athena', 'CloudTrail', 'SageMaker', 'ThirdParty', 'EC2', 'S3', 'OpenSearch', 'UserCompanyAnalyst', 'EMR', 'VPC']"
h0HE3bOEiMk,HDFC Life: Event Driven DataLake and Recovery,"DynamoDB powered data lake platform. DynamoDB is cheaper than S3 when it comes to event driven scenario.
    DynamoDB also has the `streams` feature which can trigger lambdas on events (like in case of errors).
    These lambdas are also used to achieve other business objectives.
    S3 and Athena serve as a recovery mechanism.
    While data is pushed to DynamoDB, it is also pushed to S3 (but only the top layer). During recovery layers 
    are built within S3 using Athena and then pushed to DynamoDB.",control,https://www.youtube.com/watch?v=h0HE3bOEiMk,,"['Athena', 'Lambda', 'DynamoDB', 'DMS', 'DirectConnect', 'ThirdParty', 'S3']"
nvhG60gFbso,JFrog: Distribute Software Artifacts securely using SaaS Solutions,use of secure components for private artifactory accessLess public components - less latencyRunning everything on one region - so cost for traffic is less expensiveAvailable on AWS Market place,interactive,https://www.youtube.com/watch?v=nvhG60gFbso,,"['DirectConnect', 'PrivateLink', 'ThirdParty', 'EC2', 'S3', 'NLB', 'TransitGateway', 'RDS', 'EKS', 'VPC']"
RCWl0rf8lpE,Cognizant: Beyond Prediction with a Unique Evolutionary AI Platform,"Use evolutionary algorithms to generate ANN architectures.
    Run candidate architectures in user's subscription and get feedback.
    Use feedback to generate more architectures -- and iterate.
    Note only EC2_1, S3_1, and ECR are running in company's subscription.
    EC2_1 is where ENN Service is running. There is a mention of using a Kubernetes Cluster and using kOps to manage it.
    EC2_2 is running under customer's account. The company also provides libraries and configuration data which the customer can use to interact with the SaaS system.
    EC2_3 (called Studio ML Workers) is not actually a single EC2 but rather a cluster. This cluster is also running in customer's account.",compute_intensive,https://www.youtube.com/watch?v=RCWl0rf8lpE,,"['ECR', 'SQS', 'EC2', 'S3']"
yXpd8gPfows,Inawisdom: How Insurance Companies are Using IDP to Optimize Document Processing,"Study describes how they use AI/ML to perform document processing.
    There are three phases. In phase 1, email attachments are extracted and stored into S3.
    In phase 2, AI/ML services are used to further process them and results are again stored in S3. The results here are topics (document classification) and extracted details like quote and policy numbers.
    In phase 3, a lambda picks up the results and performs some (unclear) postprocessing to store in dynamodb.
    In case accuracy of models is found to be unsatisfactory, the lambda also triggers sagemaker ground truth where a domain expert can improve the model.",compute_intensive,https://www.youtube.com/watch?v=yXpd8gPfows,,"['Lambda', 'Comprehend', 'DynamoDB', 'SageMaker', 'ThirdParty', 'S3', 'Textract', 'SageMakerGroundTruth']"
_iHahE9-0e8,This is My Architecture: Analytics Customer Spotlight,summary video,control,https://www.youtube.com/watch?v=_iHahE9-0e8,,"['UserConsumerAPI', 'Kinesis']"
wbh51O3QrE4,Mahindra Electric: Building a Connected Electric Vehicle Platform on AWS,electriv vehicle tech. NEMO - next gen. mobilioyty. connected shared service to customers.reliability is very important. they store data atleast for 3 days in kinesis.terabytes of data in S3. Glue is used to scan curate and transform the data.,data_ingestion,https://www.youtube.com/watch?v=wbh51O3QrE4,Edge,"['Lambda', 'Athena', 'ALB', 'SNS', 'UserConsumerEdge', 'EC2', 'S3', 'UserConsumerMobile', 'Kinesis', 'Glue']"
07lfvavMdfU,Levels Beyond: Digital Content Orchestration,"Interesting use of services to process and tag interesting highlights from videos.
    Help clients monetise their media. This video describes media -> cloud workflow.
    User uploads a video file to S3. This triggers a StepFunction.
    1. Kick off transcode and media convert. Media Convert creates a proxy that helps playing back in the browser.
    2. Extract checksums and standard metadata (frame rate, quality, length, etc.) of the video and store in DynamoDB.
    3. Start off Rekognition and identify celebrities, violence, nudity, etc. Data (plus timestamps) goes to DyanmoDB.
    4. Trigger Transcribe, audio is translated to text which is then sent to Comprehend to get insights from audio (eg profanity). Again sent to DynamoDB.
    DynamoDB is a temporary store. Once data is there, an ingest is triggered into the reach engine (EKS + EC2). This allows users to view video details, metadata, visualisations, celebrity appearances etc.
    The data from reach engine is then used by user for other services the company provides.",data_ingestion,https://www.youtube.com/watch?v=07lfvavMdfU,,"['Comprehend', 'DynamoDB', 'UserConsumerWeb', 'EC2', 'S3', 'StepFunctions', 'MediaConvert', 'Rekognition', 'EKS', 'Transcribe']"
ZA_0RMeeWpY,Dome9: CloudBots Make Compliance Easy,Provides visibility into what is happening and do remediations if required. Single Lambda to make remediations in multiple customer accounts. Lambdas run in customer accounts as the data is confidentian and Dome9 need no access to it.,compute_intensive,https://www.youtube.com/watch?v=ZA_0RMeeWpY,,"['SNS', 'ThirdParty', 'GuardDuty', 'Lambda']"
IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,deep learning to cybersecurity. to prevent zero data attacks. real-time statistics - cloudfront not good for it. why dynamo db? easy simple to use.,interactive,https://www.youtube.com/watch?v=IV3KuMGVNXI,Edge,"['DynamoDB', 'LambdaAtEdge', 'S3', 'UserCompanyAgent', 'CloudFront']"
iWK0iRUi-b4,Snyk: CICD Pipelines and Security Controls for Application Developers,,interactive,https://www.youtube.com/watch?v=iWK0iRUi-b4,,"['Lambda', 'DynamoDB', 'ApiGateway', 'CodePipeline', 'UserConsumerWeb', 'S3', 'StepFunctions', 'EventBridge']"
